Time,Value,Amount From,Token From,Amount To,Token To,Transaction Hash,Status
27m,$0.0134,"0.033966",SOL,"0.003163",SOL,5xYHaGocx6kT7Ax9RrDNcQbkSWAUAKZVH9DKruJzGcCK1aueoZA6mcMnsVtBtPsynQgRrSMgugEoecS8R9BGFQVU,Success
29m,$0.0024,"0.001110",SOL,"0.001389",SOL,S4MVvrjZEwn2NcYxWZrAyykHz7Ug3PrP994tJuxWzaCjyoEDwZ9ApmjBxnqLGiGYsng8QwGJdecRMZaZ8CbNh74,Success
29m,$0.0022,"0.001011",SOL,"0.001375",SOL,3yFHnLwaP6Yo5yUQmNdAASzZRiJW9uqwiFhw79AASBZjNdJsppGr2JnQ3YgTfQMwLFp66HaQBbhkfQajimBX6GRT,Success
29m,$0.0079,"0.023650",SOL,"0.001664",SOL,5ppEGQ7MCwSTsJvLTt9HPHLnXvNz6ZvzRPkFeMTqRnD1BmAGSRdCVrYt2Kyf21oEx7EccGd3t5xck699fK4sog9B,Success
30m,$0.0090,"0.001500",SOL,"0.001496",SOL,55kapb6FWHDfuVBN26G4N8M94x7GdSrQ3Q1DS6mwFzdHuFFpsndgchnXNqGiDa4kYQ8A7JAHJUDpGeMpkmJCyxpG,Success
30m,$0.0026,"0.001210",SOL,"0.001302",SOL,5pSnh52cXkDHtmFhw7DJ8Z6sApRNSYyiEn6vemhJVyjh2ymmE5jFoUFcTtR8qnxrY4FitHj8BtPmhVTZSBtCDHLJ,Success
30m,$0.0346,"0.144563",SOL,"N/A",Unknown,23h1REjP7rvotUDpHg7fMPZ1erHWmK5igEbh7HCJVUxrx63USAdeStTpG5QeBApHFKPitpX6oRPcUV11Gm6RYDdq,Failed
32m,$0.0001,"0.001500",SOL,"0.004060",SOL,5ZjaNaCe8NdtTKtzbmskvZAhrGPtFvLvu8R6yb8ixSXiDrFbe1dgKvyDRHzc8ByYrLJQX7NSBbZggi7iocHayhba,Success
33m,$0.0008,"0.003500",SOL,"0.001472",SOL,2QHoK6XQyPV6WWGAXzn5esPGpoUptUZ2vU38uwpbxThDT8w4Dpn5YcWLAmi5n5fTTRu47WA5VvbSupLB6TKR4H3P,Success
33m,$0.0023,"0.001181",SOL,"0.001374",SOL,4qyL7mxnEZBEBHgn5qcLekj5hj17FF6sHq1bLJbF8vcGUxR42p7pGSYefizwjoHAvXjp2qHMigK5tA2brASoaFRy,Success
35m,$0.0169,"0.043061",SOL,"0.002462",SOL,26CwFaonfSEh3FfR5Qggdd2hChp4RmMviGUUi627ndxcLxVqhKhvuEcaNR5hNJuiEM2fyLkJa5xewbkBjTK3U4GV,Success
37m,$0.0047,"0.014069",SOL,"0.001062",SOL,2p5Q2htAK6tW4MnErgY8Qs7FXoJDE3FUDVV39naBEsGX5tcpA23VYJN5rCm4AfzwHtsBoQrt1taJga8DZF7krcj2,Success
38m,$0.0019,"0.006600",SOL,"0.001050",SOL,5b2DgQLnSZHjDuXQx1pBnMpWicKM6FV2nm3aXwTDVzmenr66J5T8tuq2tPvG5YJqUqcAZpQDiND9G5bYJtiW2nDi,Success
38m,$0.0020,"0.010500",SOL,"0.002060",SOL,23bC51nreuWHVtzbaL6dS1XcPkgdeJgmq66UoCCg1DUAQuHkZCZT58teqEGgTG4HTgCnLxjA9HnZqLKigu579tvw,Success
39m,$0.0019,"0.006600",SOL,"0.002337",SOL,3PCrDa1zDgKdmFwigzyFRKjWe1bhozvzXa3c9aLscFLCNweLG5QP3PvX7eGQ2vb81szFFsPs6BgEGsxAiSg8rQ86,Success
39m,$0.0113,"0.024836",SOL,"0.001484",SOL,4K2h2EH5fmazDpexv9R8Akhe9tru6qR2SNN29ij9wBVukt294KpQZQar5Ua2Gwq7ZSwctZQgWDBvKyU6fUb28nM2,Success
39m,$0.0027,"0.001382",SOL,"0.001373",SOL,5PhXEMa2WVLz8xyxeMKt7PStZECPJGVK1GT7cQiJShHR6cPA8HE3mnQ1B5qjRyZSNoPSmEaaEi8drncpDRqy4K3H,Success
39m,$0.0044,"0.013311",SOL,"0.001481",SOL,3W1RqkMmqEBd3qCP6ptgYdguaPk8rTVypEDsmgZsKsuktv2v4NnUqhAXgbcTBS3qJy2a9cw6dXD5ZWEoEhoHN8ee,Success
43m,$0.0030,"0.008938",SOL,"0.000895",SOL,2J9j3pgYRJq45BBQxSG2tgMPDt2AqKwZ89hZrTQ6HTx3APR6XW5BpM9fZ2i9PEGR44KR2Q9QxPFaSgz15r1gCaXr,Success
43m,$0.0001,"0.001500",SOL,"0.001105",SOL,5ZgqhSzMLLTV6x2e7V5Rrw8XwfGGos95yJoqawbgaH6A9skAfXpkXaNtXJoSJZtd7ZNm2f5bntSitmnv4k3GX75k,Success
44m,$0.0098,"0.021664",SOL,"0.001484",SOL,2n4h877eHkcGharh3zCS73P9VWb6mdRbiXyn2veMdLxvNSiTvD8RSJbMXFpZo5MHFa4ViWKnFnRSDCFeWHErxSUV,Success
46m,$0.0008,"0.003500",SOL,"0.001637",SOL,3yW4mJbLptftCwQcPPpAHeS1T8DdAqgzN6zqrRUZzSyGeu7aUnKk7Hde565SJ2vRdx9P1H9kv9EoQpv8tQv5JzSP,Success
48m,$0.0159,"0.066511",SOL,"0.004347",SOL,v1mvsXQ3rRwnTjYURgqifunDp3knuBCAAw9FxtkBtWqUg6vCdCwKeJesBFYgfrzRxjzjohb5ouTjEGmFGCg4yxo,Success
48m,$0.0019,"0.006600",SOL,"0.003527",SOL,33wqi7iKsbh36NJqyXhXfRjrY3tSwNocH7CQB6TdVyi5yzWytvpwNGb3kFf2dbU3BLPBbe8eY41U7K8fTLoqk4wi,Success
48m,$0.0138,"0.035170",SOL,"0.003239",SOL,4y9wHo9eA6V9Ppsh1r2grGw1AmAkWHMf8sMJGkEdpxtYvGNHEvZBzwhaPy6sjS55GddV8ZcE3vKvZLT7K9ndtJ2L,Success
48m,$0.0169,"0.015030",SOL,"N/A",Unknown,5GuVJpkfMvjMPgvArAuruPAXRT7qFPNFuA62oheyxn5W79VvrGunaSU347VBU7VQfLq8JrpJHVwnwcNCJmWZ9v8W,Failed
48m,$0.0008,"0.003500",SOL,"0.001441",SOL,3BABE8fTgLT1paChCkZrThekvxJZVwUXc6V4UFL8bBxnk9fKaqw2tPnj5GZatHWUfdW321TsLhxnAaFfKA4bitYj,Success
49m,$0.0083,"0.018211",SOL,"0.001456",SOL,fzHxEXijpqSqBr42be3xi1ZDcnzUoM2LdQ1grdjyDQ3oPCubY4WjdoukjLFvMfduPjrXMgm5YCvV3HekdAaiJ1G,Success
50m,$0.0027,"0.001310",SOL,"3.0000",SOL,36aB4RSniSC4rvD9Q8HvuK7Pu1aV5kSAtXAZjWVxpUjkw2CAsTtK5KbzWJPNdyaTyfyykJAEz1eXWfC4u6ef92Dn,Success
50m,$0.0008,"0.003500",SOL,"0.001298",SOL,5FuhSwSMzkYG5UiF3KxH8FqXbv2itrhFfaXfbUf458VvEtArusr2hCrLAAwoUCRGTTJ9jkByNKEa2mfp2Y8qY59t,Success
50m,$0.0014,"0.000790",SOL,"0.001188",SOL,4XM6w1HMfrwLWxTduPiSGhZ16w3zYkz2DyfWtH5GFXjakWsYwn41D9XtMA9wHN5yj7NydAbvTa7pNtPD3b1tL8LK,Success
51m,$0.0090,"0.001500",SOL,"0.001008",SOL,sDr8WE783ACXy7umkzuUbRKvUB85PjnpEhjxKueMnSyXPeLwNbQ7xHCDyQYfBbEUdjDSBcGs2LFf45tfj98a2kB,Success
54m,$0.0008,"0.003500",SOL,"0.001291",SOL,dMD8Mh3E6fTivxr5dvwPQfFXmw85JfNjFigpMxEE43bj6PA8hUTWBCStvuurTXQ5DgE51koQXePtG1UqmAJVC2r,Success
55m,$0.0001,"0.001500",SOL,"0.001099",SOL,3gi4S4D8eSGTQdz8Th4EX8m9N3ACj18ZbtR2nP34zX6gCY9o7duzFbpGM2Veo9dayFTRwPZnCzzd6s6vgMynHC3z,Success
56m,$0.0000,"0.100000",SOL,"N/A",Unknown,5RctC1DhMiDFNKi1swuTTJstwtA6Ndx1yYZ5FAQujwerkEeAMkiHv1sNWoVqSAKq1mA2aAUeuZktyNMpo4LeCgT3,Success
56m,$0.0000,"0.100000",SOL,"N/A",Unknown,5V3pcfH5TASKKu2QyuYvxmdtGx58BQpTuggJ1ivMh4JsWsXxcMWHkDvWYDPY35uamw6vYw8oWvmH24QR5EbF5YpB,Success
56m,$0.0008,"0.003500",SOL,"0.001462",SOL,3bofBHVTz7d4F2Frj8v63GwAy9uxLWjZugo7CZ9sspUYC4fUiaqQGZwvypCLMNp7ySHYBZP2qo9ykXBkqLXMnSk6,Success
1h,$0.0019,"0.006600",SOL,"0.001439",SOL,xRUoFQRa5yHvLwJmNboBnsa4TkZECMKAtHNJRLGHJamZEvSQJqhw4cqvZbZcjqpKoyhiSLinry4e1aYjLeFLpHG,Success
1h,$0.0008,"0.003500",SOL,"675.86K",4daoTLuf,5EwHBuk5i7cciMcMJpHVBCMGe8ouHSx3Py9MD4qnY6x5jA5eGa9FPPPaTuQJU2t5nvSaJcgWLjDUyEE6JuZHALLg,Success
1h,$0.0001,"0.001500",SOL,"0.001078",SOL,3Zj3qQxUWsaFfxXTnWZ21x2pPg6assqaaaqV8AQ7xXU7GgGkBF7pSFBudXoXL2N5Dz7eZW8xFYrj4ehyUvJva4HV,Success
1h,$0.0069,"0.015211",SOL,"0.001246",SOL,3dVrv2n5z22sSSbyJPb6Vt5MAPeNJ9EzxbfHR5TFbk1pWYqJis1MXRYVbwu1unSPzT3yp8vabR8oFNtvmsER6gxi,Success
